relpath,dataset_source,class,duplicate_of,pixel_hash
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP27.JPEG,dataset1,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP22.JPEG,1e73b40fd77d6b8db995831a505d61d49e449c2c8b2d48b905e6b95112be88fd
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP28.JPEG,dataset1,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP2.JPEG,c5842cd693c8d6bb096106efbde3ce3c3a092604d038db7843fe720cd7953567
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP72.jpg,dataset1,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP56.jpg,d7a10c90e2f5e1cc37ae8edd3ae74c6179c5500d006d2da11180ec0bfa0c4517
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP73.jpg,dataset1,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\normal\N15.jpg,c7fe3f16b277b0e36c851a0c0aa5b8c01f472cf0f1a40556d9ca2993f4d58c47
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP82.jpg,dataset1,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP145.jpg,3df517b39a7a2e6f6b0511ee61e5dcb0c9fa36ae6aeb721a76c3346e84fcbbf9
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP99.jpg,dataset1,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP105.jpg,3dd07964241016d2c37608ed8ddf823fd013f507b23beee94dfc888a8db19c1d
data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS24.jpg,dataset1,osteoporosis,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP96.jpg,971a7d0755240e3526442a6ca9e970e904d2128b9deb67a1e6b40bf81fdbcead
data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS32.jpg,dataset1,osteoporosis,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP144.jpg,9273b952d1ea90b80259b81ae03cc6c5ca6d541f08223485fc690cbe64f2ff5f
data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS40.jpg,dataset1,osteoporosis,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP102.jpg,1493de60135f80c0bbdc19155615a346b573e99c98d943f60af6c452c47a042c
data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS49.jpg,dataset1,osteoporosis,data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS25.jpg,cb2befddd8bf6491cc0cfcdb64948a7e8f0fe99583fbc7d9470fec36b39b8a86
data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS8.jpg,dataset1,osteoporosis,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP53.jpg,4f1b3406511d3845fc36a7c5ca8bcdea0c2ef2b9a75cf16ad29abdf7779d2a5b
data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS9.jpg,dataset1,osteoporosis,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP53.jpg,4f1b3406511d3845fc36a7c5ca8bcdea0c2ef2b9a75cf16ad29abdf7779d2a5b
data\raw\dataset2\osteoporosis\osteoporosis\143.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP94.jpg,a204edb9219377d5b619f3fa99e1815d427a2752b7bb74ba942fd2842329a157
data\raw\dataset2\osteoporosis\osteoporosis\145.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP95.jpg,382a5a96923d735af6a69191f3b811eca39c900b6276b160419190fccf0ba508
data\raw\dataset2\osteoporosis\osteoporosis\149.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP97.jpg,b3597794d7874360b736ce80adb07abac06dec62c6cd1665f30c076193324d20
data\raw\dataset2\osteoporosis\osteoporosis\151.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP98.jpg,cbed43b7d7d1eb1240b19091bbf93d3263e5c176b391f9a5dbcefddd3effbca8
data\raw\dataset2\osteoporosis\osteoporosis\153.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP105.jpg,3dd07964241016d2c37608ed8ddf823fd013f507b23beee94dfc888a8db19c1d
data\raw\dataset2\osteoporosis\normal\155n.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP100.jpg,468c347f98610d68a3c64336342ac75cd152737fe0965e40d074ad813295022f
data\raw\dataset2\osteoporosis\normal\157n.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP101.jpg,cd6f232d9431a8c901c9e353ece86b4b26f328055c28e43b335d8936e4976b80
data\raw\dataset2\osteoporosis\osteoporosis\161.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP103.jpg,7de6792b26a8735f2ad87479c653243446469a71bdb06db7b695edcb001a2031
data\raw\dataset2\osteoporosis\osteoporosis\163.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP104.jpg,c80df008a5465c756ab52c549edeb605ab68e69b7bfdc7711337db74fc195fd9
data\raw\dataset2\osteoporosis\osteoporosis\165.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP105.jpg,3dd07964241016d2c37608ed8ddf823fd013f507b23beee94dfc888a8db19c1d
data\raw\dataset2\osteoporosis\osteoporosis\167.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP106.jpg,fd4bdca0feae92a44596a705a885791416ce41652fe2ea7c397f0d472d2eb85c
data\raw\dataset2\osteoporosis\osteoporosis\171.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP108.jpg,f2b26afb2182ccb37f7c30aa3e337e037830e09c087455babe867c37e4a22495
data\raw\dataset2\osteoporosis\osteoporosis\173.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP109.jpg,78a74fa4114840accd34ac9e044c74d0ab0b46bf1b45b1449e70cfe1bf4f5ee0
data\raw\dataset2\osteoporosis\osteoporosis\175.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP110.jpg,fb43949d2ea612286f94adb10e3de9cf38a55b973bfac401bfc534fc6a203ee4
data\raw\dataset2\osteoporosis\osteoporosis\177.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP111.jpg,089ae5ec92172569ffeb2cc78eec1028e5bd2af93d318cdbac31abeeb36b1b3f
data\raw\dataset2\osteoporosis\osteoporosis\179.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP100.jpg,468c347f98610d68a3c64336342ac75cd152737fe0965e40d074ad813295022f
data\raw\dataset2\osteoporosis\osteoporosis\181.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP113.jpg,588e628615cd409da5f3b739bd02e16191cb21298e99308a6d09febf34824da2
data\raw\dataset2\osteoporosis\osteoporosis\183.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP114.jpg,37fab5c1c4b053ec70abc0a8a6ef4d140edbe4e5aa6383d4a824abf20c0efef1
data\raw\dataset2\osteoporosis\osteoporosis\185.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP115.jpg,bb3eb2218cdcdc47d9eaa9d81e795f63dab50f9bdc5e0e482bd4bfb1afa41972
data\raw\dataset2\osteoporosis\normal\187n.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP116.jpg,cce641da8154b5e8c1b444d271ebaad621f348380f85a0607676e6d68672eb38
data\raw\dataset2\osteoporosis\osteoporosis\189.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP117.jpg,f02f5e4ed47dc865d4446498f13e8df36b4b5eb1d84791604b641d224b00633c
data\raw\dataset2\osteoporosis\osteoporosis\191.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP118.jpg,8b088b047ca4922459e265fe4a7908ca7528924ece5cc92d9bd7f7b1c6d89532
data\raw\dataset2\osteoporosis\osteoporosis\193.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP119.jpg,1644f58215000e04b98e737e380a268724dcaacd04a1783f94178e3799373d56
data\raw\dataset2\osteoporosis\osteoporosis\195.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP120.jpg,3fc03983ad1ccc0e2c6bda473f73a733883d5641f8a19a57929e6c8412da9be0
data\raw\dataset2\osteoporosis\osteoporosis\197.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP121.jpg,5f7ffc41b1f54f63a1caaa12f714e25e344bc55b65d355d1f0b77994e8d7db08
data\raw\dataset2\osteoporosis\osteoporosis\20.png,dataset2,osteoporosis,data\raw\dataset2\osteoporosis\normal\20.png,77b70de7be1b755a5cf6fe11d1e8739d7bf8e4d9ddaab642fe1c96c0f38a96c4
data\raw\dataset2\osteoporosis\osteoporosis\203.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP124.jpg,20533ac58114d9d3223fa4a42f5efafcc856872e8c8db1f4d75baa4f08cbde44
data\raw\dataset2\osteoporosis\normal\205n.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP125.jpg,17901bac2b2e20e281b96ef4463766c9c09200bfa357230779e86fd43537e6d3
data\raw\dataset2\osteoporosis\osteoporosis\207.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP126.jpg,01ea1aab6cb9e85ad33b52ddb7f770439cdfb07bec8fdede65b5c02eb8ea59ca
data\raw\dataset2\osteoporosis\osteoporosis\209.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP127.jpg,91836302454fe7d80c64ad6fe5a56980c2527fee870f9d71e7688397af817d28
data\raw\dataset2\osteoporosis\osteoporosis\211.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP128.jpg,29bc3549344c53ed0133b65c81129d699219746ee626fb963dac46d597ba4c89
data\raw\dataset2\osteoporosis\osteoporosis\213.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP129.jpg,db14266678e9b8f941016c38cf1978c885f7aff3b4b928f5d8c8fded111156f4
data\raw\dataset2\osteoporosis\osteoporosis\215.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP130.jpg,5b6f6fc6978f0b20575724ece46d3bbdb276cca75462a7da6871cd53e9f97854
data\raw\dataset2\osteoporosis\osteoporosis\217.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP108.jpg,f2b26afb2182ccb37f7c30aa3e337e037830e09c087455babe867c37e4a22495
data\raw\dataset2\osteoporosis\osteoporosis\219.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP132.jpg,d16764d8570ae834d21b6109b9eb994b7e260942cc67af0c6029fa157c3052bd
data\raw\dataset2\osteoporosis\osteoporosis\221.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP133.jpg,fca2693152dc8c0ac5906f1c72deaf8df2f9668fb2794b9f66fb02f6cc476b1b
data\raw\dataset2\osteoporosis\osteoporosis\223.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP134.jpg,70db513d375f3b1f43b8f436097ba3e0e8ae352c57065757bd98ce1624d2702e
data\raw\dataset2\osteoporosis\normal\225.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP101.jpg,cd6f232d9431a8c901c9e353ece86b4b26f328055c28e43b335d8936e4976b80
data\raw\dataset2\osteoporosis\osteoporosis\227.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP136.jpg,d72bb23565e0de2864216f9848aa32691fb71af91ac91fd6805b0c1ae0bd9a4f
data\raw\dataset2\osteoporosis\osteoporosis\229.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP137.jpg,5614747839a6263a87f37cd09a7df43cd71f0485f2dc63b0638b21fda50a8b20
data\raw\dataset2\osteoporosis\normal\23.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP52.jpg,a6cfeff6235d1d84315199e57b5efd0d54cce9f6f5c8094901f9b111b3fa62a3
data\raw\dataset2\osteoporosis\osteoporosis\231.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP138.jpg,4de4d020b66d72803734646a68737a0acf9f1f2f68fdb74dd36d24327f41a967
data\raw\dataset2\osteoporosis\normal\233n.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP103.jpg,7de6792b26a8735f2ad87479c653243446469a71bdb06db7b695edcb001a2031
data\raw\dataset2\osteoporosis\normal\234n.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP140.jpg,4ea974b6bfc6d799241d359b447c45efaa4c280df597eef74829268424bd42a1
data\raw\dataset2\osteoporosis\osteoporosis\235.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP141.jpg,07838d5fae1e41cffffe13afe546e179649b9be1ee34236abe2b4516427f6839
data\raw\dataset2\osteoporosis\osteoporosis\236.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP142.jpg,c601dfdad5b61a80d7dc04458165a60847be4d1c79a4c9b5dcddbc5ea1a65f22
data\raw\dataset2\osteoporosis\normal\237n.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP143.jpg,9608e034a8b0ffedb5eac0b3275f19584d51be97fe73d7e609a6deb41438d273
data\raw\dataset2\osteoporosis\osteoporosis\238.jpg,dataset2,osteoporosis,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP144.jpg,9273b952d1ea90b80259b81ae03cc6c5ca6d541f08223485fc690cbe64f2ff5f
data\raw\dataset2\osteoporosis\normal\23nn.JPEG,dataset2,normal,data\raw\dataset1\Osteoporosis Knee X-ray\normal\N2.JPEG,882a193152c875dfad781d6cf4f732d89a1d468bbe60ffac7ba0c085c9bad9ec
data\raw\dataset2\osteoporosis\osteoporosis\240.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP146.jpg,94c22f8ed5cefbc3716b563a022b6cc444fc5f3662f16ab0aef0925fd12e66f0
data\raw\dataset2\osteoporosis\osteoporosis\241.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP147.jpg,9c885a84b76553e41ba09b505ec733efca4c37aebb8142820c4c50025942f049
data\raw\dataset2\osteoporosis\osteoporosis\242.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP148.jpg,43b5a8e8bdcb519a39fcb8c698ff44181257b0f48975627937135a385ef25d9f
data\raw\dataset2\osteoporosis\osteoporosis\243.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP149.jpg,5f0b622dbb9f391b83cb64199d9dbdfaf479a40ec8e0d8b532e22e6536d9764f
data\raw\dataset2\osteoporosis\osteoporosis\244.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP150.jpg,a1f0174c5ab85a73435bbf1842f67f377ef8b608229000f0e1cf7590924bc929
data\raw\dataset2\osteoporosis\osteoporosis\245.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP151.jpg,eec36f11cccd0deb92e0253da3f4ef4c3db879b11805067a2a79ac4140c3dfa3
data\raw\dataset2\osteoporosis\osteoporosis\246.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP152.jpg,850a7705b097d160d9cc46e23da071c8acf3df6767694dc31d987b54f1749299
data\raw\dataset2\osteoporosis\osteoporosis\247.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP153.jpg,2bab8ac86af7fee0861bf4e00583bf207cf746ac265201caca82b164d65412aa
data\raw\dataset2\osteoporosis\osteoporosis\248.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP154.jpg,4d4d57ffde5715422b25d380ea5a8a6d3edd1f68c52461790c734807ee6aa5a9
data\raw\dataset2\osteoporosis\normal\26nn.JPEG,dataset2,normal,data\raw\dataset2\osteoporosis\osteoporosis\26.JPEG,15df2092a51992c3a84bac825dbda60fe461813d1d6594813ee523d0a2dee0fd
data\raw\dataset2\osteoporosis\osteoporosis\29.JPEG,dataset2,osteoporosis,data\raw\dataset2\osteoporosis\normal\29.JPEG,6455816f77efd69166ed0eb235ec863bc3a7b912bd57c3a300c1ea31bb52bbf2
data\raw\dataset2\osteoporosis\osteoporosis\297.jpg,dataset2,osteoporosis,data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS23.jpg,96b625e23cb0fb2e1d8a516b889018b9e4e3b07ed2a2898cfc4b870e84a4a518
data\raw\dataset2\osteoporosis\normal\299n.jpg,dataset2,osteoporosis,data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS25.jpg,cb2befddd8bf6491cc0cfcdb64948a7e8f0fe99583fbc7d9470fec36b39b8a86
data\raw\dataset2\osteoporosis\normal\300n.jpg,dataset2,osteoporosis,data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS26.jpg,480450b54c0c605f851b1ba25bc5e4551c9df6a6d3110d2a962aa471ece68158
data\raw\dataset2\osteoporosis\osteoporosis\301.jpg,dataset2,osteoporosis,data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS27.jpg,15426594bedc9adf5aa304c83c36cc42614c41e4545b245cda1340da7bd82b89
data\raw\dataset2\osteoporosis\osteoporosis\302.jpg,dataset2,osteoporosis,data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS28.jpg,6a0469657853fbab3471f092c535841943e10b243db1aff652ec2f3cc4163bad
data\raw\dataset2\osteoporosis\osteoporosis\304.jpg,dataset2,osteoporosis,data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS30.jpg,255593598fe95c30100c720ce4018fbb7d775b214a89a6113048c85187d905cd
data\raw\dataset2\osteoporosis\osteoporosis\305.jpg,dataset2,osteoporosis,data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS31.jpg,616913340b3d8d2b82998c614b73fdb205a0fab245a7144752b3a636b5b9270b
data\raw\dataset2\osteoporosis\osteoporosis\306.jpg,dataset2,osteoporosis,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP144.jpg,9273b952d1ea90b80259b81ae03cc6c5ca6d541f08223485fc690cbe64f2ff5f
data\raw\dataset2\osteoporosis\osteoporosis\308.jpg,dataset2,osteoporosis,data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS34.jpg,47647b50c01382e120d167cd84e44ccb7af79cfcba6b9462dc51a1d23e668bcd
data\raw\dataset2\osteoporosis\osteoporosis\309.jpg,dataset2,osteoporosis,data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS35.jpg,9159f3095ffe11b541eea0dfd9c49ec85c58fe40c05eca5ede3a3c6014ce9740
data\raw\dataset2\osteoporosis\osteoporosis\310.jpg,dataset2,osteoporosis,data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS36.jpg,033511b7a9650ef1387ec988261d8bb284430a1e2153ea52edd1d47596b71243
data\raw\dataset2\osteoporosis\normal\311n.jpg,dataset2,osteoporosis,data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS37.jpg,a7ded2068c37af30498e5c581017331a036d44b956a7d005fd799199b35ee5dc
data\raw\dataset2\osteoporosis\normal\313n.jpg,dataset2,osteoporosis,data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS39.jpg,2e00b7694a81f95b9c3b8349d7e7c1ed93c7c0bb163db5a86f0720267dfeae7d
data\raw\dataset2\osteoporosis\osteoporosis\314.jpg,dataset2,osteoporosis,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP102.jpg,1493de60135f80c0bbdc19155615a346b573e99c98d943f60af6c452c47a042c
data\raw\dataset2\osteoporosis\osteoporosis\315.jpg,dataset2,osteoporosis,data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS41.jpg,afdc953b14fd02d23f3057e7761b62bc1073e4db74f410af1541a683736bc2c7
data\raw\dataset2\osteoporosis\normal\315n.jpg,dataset2,osteoporosis,data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS33.jpg,aa1d486f1aa4dc56a73795c597c3f3b459be911acf40e3dc905f7fdb6dc6455d
data\raw\dataset2\osteoporosis\osteoporosis\316.jpg,dataset2,osteoporosis,data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS42.jpg,9a37c2f57d2e662056b7dadd833a39f5218fed8c7938c89a04da2d5b560303d8
data\raw\dataset2\osteoporosis\osteoporosis\317.jpg,dataset2,osteoporosis,data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS43.jpg,ca7c33de67e744af83836356c854a782cd27ae61ace2409b84849985f821e83c
data\raw\dataset2\osteoporosis\osteoporosis\318.jpg,dataset2,osteoporosis,data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS44.jpg,846d94fcccc4566fe45d3fb78d1f5f52bc0addf6a17900c56927655846205d40
data\raw\dataset2\osteoporosis\osteoporosis\319.jpg,dataset2,osteoporosis,data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS45.jpg,0fb056fc92776f44bbe59d01de48e43874b9300370b7cfd58478a57f8f47506a
data\raw\dataset2\osteoporosis\osteoporosis\321.jpg,dataset2,osteoporosis,data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS47.jpg,87ba8d9e3b1772a4c4a1fd744479f67696eb652d7b90c24c9d490e72a6e7d0d3
data\raw\dataset2\osteoporosis\osteoporosis\322.jpg,dataset2,osteoporosis,data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS48.jpg,070b83d21ca1ac9d25dc7de04a05dd062e026b2a9c4f7495748c9443665fad65
data\raw\dataset2\osteoporosis\osteoporosis\323.jpg,dataset2,osteoporosis,data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS25.jpg,cb2befddd8bf6491cc0cfcdb64948a7e8f0fe99583fbc7d9470fec36b39b8a86
data\raw\dataset2\osteoporosis\normal\36n.jpg,dataset2,normal,data\raw\dataset2\osteoporosis\normal\36.jpg,7b8d2aed0d94f1b9a93b811236e308d47a63c664ca81fda9a19194554cf96f62
data\raw\dataset2\osteoporosis\normal\39.jpg,dataset2,normal,data\raw\dataset1\Osteoporosis Knee X-ray\normal\N18.jpg,7b0750d8a2e4e36271b3a19db0414eb681c412e804c2331cde45d8705b0933a0
data\raw\dataset2\osteoporosis\osteoporosis\4.png,dataset2,osteoporosis,data\raw\dataset2\osteoporosis\normal\4.png,2c199e35cf8aa5c18f0888260e3c7c6bedabfa193fc16eae01d5fe2ed7bf258d
data\raw\dataset2\osteoporosis\normal\41n.jpg,dataset2,osteopenia,data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP58.jpg,fc648843d1b51655bb60c0f4a5847c2f31a22fb9f7bf2ed78ae799efb9f725ed
data\raw\dataset2\osteoporosis\normal\43.jpg,dataset2,normal,data\raw\dataset1\Osteoporosis Knee X-ray\normal\N22.jpg,f831e9fe5cfca0d6e1981de9d85e12ba76c080ceede25407cb43a68d16c1f6ff
data\raw\dataset2\osteoporosis\normal\45.jpg,dataset2,normal,data\raw\dataset1\Osteoporosis Knee X-ray\normal\N24.jpg,4b211a60b15d1fc833185875d0094fdd5653e1cbe4f9e5fd1ff85b6b6862c23c
data\raw\dataset2\osteoporosis\osteoporosis\45o.jpg,dataset2,normal,data\raw\dataset1\Osteoporosis Knee X-ray\normal\N24.jpg,4b211a60b15d1fc833185875d0094fdd5653e1cbe4f9e5fd1ff85b6b6862c23c
data\raw\dataset2\osteoporosis\normal\46.jpg,dataset2,normal,data\raw\dataset1\Osteoporosis Knee X-ray\normal\N25.jpg,80d6ce3d21c95a89dc034b87a37c932ec095bad09cd6c7dbae26340f1cc71297
