a_relpath,b_relpath,a_class,b_class,a_source,b_source,correlation,dhash_hamming,label_conflict
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP110.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_95.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999592,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP111.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_96.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999819,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP113.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_98.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999776,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP114.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_99.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999669,1,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP115.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_100.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999712,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP116.jpg,data\raw\dataset2\osteoporosis\normal\Normal_138.jpg,osteopenia,normal,dataset1,dataset2,0.999763,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP117.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_101.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999581,4,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP118.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_102.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999809,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP119.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_103.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999701,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP120.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_104.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999601,2,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP121.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_105.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999773,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP124.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_108.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999751,2,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP125.jpg,data\raw\dataset2\osteoporosis\normal\Normal_148.jpg,osteopenia,normal,dataset1,dataset2,0.999557,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP126.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_110.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.99981,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP127.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_112.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999784,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP128.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_113.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999839,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP129.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_114.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999725,3,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP130.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_115.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999792,1,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP132.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_117.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.996591,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP133.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_118.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.99977,2,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP134.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_119.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999803,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP136.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_122.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999819,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP137.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_124.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.99976,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP138.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_125.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999801,2,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP140.jpg,data\raw\dataset2\osteoporosis\normal\Normal_159.jpg,osteopenia,normal,dataset1,dataset2,0.999798,2,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP141.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_127.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999797,1,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP142.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_128.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.99932,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP143.jpg,data\raw\dataset2\osteoporosis\normal\Normal_160.jpg,osteopenia,normal,dataset1,dataset2,0.9995,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP144.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_129.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999711,2,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP146.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_131.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999782,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP147.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_132.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999766,2,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP148.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_133.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999693,1,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP149.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_134.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999793,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP150.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_135.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999725,2,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP151.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_136.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999762,3,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP152.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_137.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999702,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP153.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_138.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999816,2,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP154.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_139.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999762,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP52.jpg,data\raw\dataset2\osteoporosis\normal\Normal_23.jpg,osteopenia,normal,dataset1,dataset2,0.99955,2,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP58.jpg,data\raw\dataset2\osteoporosis\normal\Normal_54.jpg,osteopenia,normal,dataset1,dataset2,0.99933,2,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP94.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_80.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999811,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP95.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_82.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999803,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP97.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_84.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999746,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteopenia\OP98.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_85.jpg,osteopenia,osteoporosis,dataset1,dataset2,0.999797,1,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS23.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_166.jpg,osteoporosis,osteoporosis,dataset1,dataset2,0.999573,1,False
data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS25.jpg,data\raw\dataset2\osteoporosis\normal\Normal_179.jpg,osteoporosis,normal,dataset1,dataset2,0.999791,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS26.jpg,data\raw\dataset2\osteoporosis\normal\Normal_180.jpg,osteoporosis,normal,dataset1,dataset2,0.999766,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS27.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_168.jpg,osteoporosis,osteoporosis,dataset1,dataset2,0.999795,0,False
data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS28.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_169.jpg,osteoporosis,osteoporosis,dataset1,dataset2,0.999806,4,False
data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS30.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_170.jpg,osteoporosis,osteoporosis,dataset1,dataset2,0.999786,1,False
data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS31.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_171.jpg,osteoporosis,osteoporosis,dataset1,dataset2,0.999798,1,False
data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS33.jpg,data\raw\dataset2\osteoporosis\normal\Normal_184.jpg,osteoporosis,normal,dataset1,dataset2,0.999776,0,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS34.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_173.jpg,osteoporosis,osteoporosis,dataset1,dataset2,0.999716,0,False
data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS35.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_174.jpg,osteoporosis,osteoporosis,dataset1,dataset2,0.999704,1,False
data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS36.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_175.jpg,osteoporosis,osteoporosis,dataset1,dataset2,0.999795,1,False
data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS37.jpg,data\raw\dataset2\osteoporosis\normal\Normal_182.jpg,osteoporosis,normal,dataset1,dataset2,0.99967,1,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS39.jpg,data\raw\dataset2\osteoporosis\normal\Normal_183.jpg,osteoporosis,normal,dataset1,dataset2,0.999799,1,True
data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS41.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_178.jpg,osteoporosis,osteoporosis,dataset1,dataset2,0.999815,2,False
data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS42.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_179.jpg,osteoporosis,osteoporosis,dataset1,dataset2,0.999773,1,False
data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS43.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_180.jpg,osteoporosis,osteoporosis,dataset1,dataset2,0.999807,0,False
data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS44.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_181.jpg,osteoporosis,osteoporosis,dataset1,dataset2,0.999808,1,False
data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS45.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_182.jpg,osteoporosis,osteoporosis,dataset1,dataset2,0.999791,0,False
data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS47.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_184.jpg,osteoporosis,osteoporosis,dataset1,dataset2,0.99981,1,False
data\raw\dataset1\Osteoporosis Knee X-ray\osteoporosis\OS48.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_185.jpg,osteoporosis,osteoporosis,dataset1,dataset2,0.999726,1,False
data\raw\dataset2\osteoporosis\osteoporosis\1.JPEG,data\raw\dataset2\osteoporosis\osteoporosis\79.JPEG,osteoporosis,osteoporosis,dataset2,dataset2,0.997156,2,False
data\raw\dataset2\osteoporosis\osteoporosis\1.JPEG,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis.jpg,osteoporosis,osteoporosis,dataset2,dataset2,0.998382,1,False
data\raw\dataset2\osteoporosis\osteoporosis\1.JPEG,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_47.jpg,osteoporosis,osteoporosis,dataset2,dataset2,0.99691,2,False
data\raw\dataset2\osteoporosis\osteoporosis\10.JPEG,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_9.jpg,osteoporosis,osteoporosis,dataset2,dataset2,0.996825,2,False
data\raw\dataset2\osteoporosis\normal\10.png,data\raw\dataset2\osteoporosis\normal\Normal_9.jpg,normal,normal,dataset2,dataset2,0.997907,0,False
data\raw\dataset2\osteoporosis\osteoporosis\100.JPEG,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_58.jpg,osteoporosis,osteoporosis,dataset2,dataset2,0.999562,0,False
data\raw\dataset2\osteoporosis\normal\101.jpg,data\raw\dataset2\osteoporosis\normal\Normal_97.jpg,normal,normal,dataset2,dataset2,0.99944,1,False
data\raw\dataset2\osteoporosis\osteoporosis\102.png,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_59.jpg,osteoporosis,osteoporosis,dataset2,dataset2,0.997813,4,False
data\raw\dataset2\osteoporosis\osteoporosis\103.JPEG,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_60.jpg,osteoporosis,osteoporosis,dataset2,dataset2,0.999735,0,False
data\raw\dataset2\osteoporosis\normal\104.jpg,data\raw\dataset2\osteoporosis\normal\Normal_98.jpg,normal,normal,dataset2,dataset2,0.999503,0,False
data\raw\dataset2\osteoporosis\osteoporosis\105.png,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_61.jpg,osteoporosis,osteoporosis,dataset2,dataset2,0.999667,1,False
data\raw\dataset2\osteoporosis\osteoporosis\106.JPEG,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_62.jpg,osteoporosis,osteoporosis,dataset2,dataset2,0.999626,1,False
data\raw\dataset2\osteoporosis\normal\107.jpg,data\raw\dataset2\osteoporosis\normal\Normal_99.jpg,normal,normal,dataset2,dataset2,0.999357,0,False
data\raw\dataset2\osteoporosis\osteoporosis\108.png,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_63.jpg,osteoporosis,osteoporosis,dataset2,dataset2,0.998014,1,False
data\raw\dataset2\osteoporosis\osteoporosis\109.JPEG,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_64.jpg,osteoporosis,osteoporosis,dataset2,dataset2,0.999576,2,False
data\raw\dataset2\osteoporosis\normal\11.jpg,data\raw\dataset2\osteoporosis\normal\Normal_10.jpg,normal,normal,dataset2,dataset2,0.999204,0,False
data\raw\dataset2\osteoporosis\normal\110.jpg,data\raw\dataset2\osteoporosis\normal\Normal_100.jpg,normal,normal,dataset2,dataset2,0.99508,3,False
data\raw\dataset2\osteoporosis\osteoporosis\111.png,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_65.jpg,osteoporosis,osteoporosis,dataset2,dataset2,0.999649,0,False
data\raw\dataset2\osteoporosis\osteoporosis\112.JPEG,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_66.jpg,osteoporosis,osteoporosis,dataset2,dataset2,0.999512,1,False
data\raw\dataset2\osteoporosis\osteoporosis\113.jpg,data\raw\dataset2\osteoporosis\osteoporosis\239.jpg,osteoporosis,osteoporosis,dataset2,dataset2,0.995439,1,False
data\raw\dataset2\osteoporosis\osteoporosis\113.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_130.jpg,osteoporosis,osteoporosis,dataset2,dataset2,0.995457,2,False
data\raw\dataset2\osteoporosis\osteoporosis\113.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_67.jpg,osteoporosis,osteoporosis,dataset2,dataset2,0.999619,0,False
data\raw\dataset2\osteoporosis\osteoporosis\114.png,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_68.jpg,osteoporosis,osteoporosis,dataset2,dataset2,0.999575,0,False
data\raw\dataset2\osteoporosis\normal\115n.JPEG,data\raw\dataset2\osteoporosis\normal\Normal_101.jpg,normal,normal,dataset2,dataset2,0.999769,2,False
data\raw\dataset2\osteoporosis\osteoporosis\116.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_69.jpg,osteoporosis,osteoporosis,dataset2,dataset2,0.999492,0,False
data\raw\dataset2\osteoporosis\osteoporosis\117.png,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_70.jpg,osteoporosis,osteoporosis,dataset2,dataset2,0.99953,0,False
data\raw\dataset2\osteoporosis\normal\118n.JPEG,data\raw\dataset2\osteoporosis\normal\Normal_102.jpg,normal,normal,dataset2,dataset2,0.999567,1,False
data\raw\dataset2\osteoporosis\osteoporosis\119.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_71.jpg,osteoporosis,osteoporosis,dataset2,dataset2,0.999325,1,False
data\raw\dataset2\osteoporosis\normal\11nn.png,data\raw\dataset2\osteoporosis\normal\Normal_11.jpg,normal,normal,dataset2,dataset2,0.999091,0,False
data\raw\dataset2\osteoporosis\normal\12.png,data\raw\dataset2\osteoporosis\normal\Normal_12.jpg,normal,normal,dataset2,dataset2,0.999469,1,False
data\raw\dataset2\osteoporosis\osteoporosis\12.png,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_10.jpg,osteoporosis,osteoporosis,dataset2,dataset2,0.995559,1,False
data\raw\dataset2\osteoporosis\osteoporosis\120.png,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_72.jpg,osteoporosis,osteoporosis,dataset2,dataset2,0.996543,0,False
data\raw\dataset2\osteoporosis\osteoporosis\121.JPEG,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_73.jpg,osteoporosis,osteoporosis,dataset2,dataset2,0.999758,0,False
data\raw\dataset2\osteoporosis\osteoporosis\122.jpg,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_74.jpg,osteoporosis,osteoporosis,dataset2,dataset2,0.993366,1,False
data\raw\dataset2\osteoporosis\normal\123.png,data\raw\dataset2\osteoporosis\normal\Normal_103.jpg,normal,normal,dataset2,dataset2,0.998461,0,False
data\raw\dataset2\osteoporosis\osteoporosis\124.JPEG,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_75.jpg,osteoporosis,osteoporosis,dataset2,dataset2,0.99958,0,False
data\raw\dataset2\osteoporosis\normal\125.jpg,data\raw\dataset2\osteoporosis\normal\Normal_104.jpg,normal,normal,dataset2,dataset2,0.999404,0,False
data\raw\dataset2\osteoporosis\osteoporosis\126.png,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_76.jpg,osteoporosis,osteoporosis,dataset2,dataset2,0.999825,4,False
data\raw\dataset2\osteoporosis\osteoporosis\127.JPEG,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_77.jpg,osteoporosis,osteoporosis,dataset2,dataset2,0.995863,1,False
data\raw\dataset2\osteoporosis\normal\128.jpg,data\raw\dataset2\osteoporosis\normal\Normal_105.jpg,normal,normal,dataset2,dataset2,0.995138,3,False
data\raw\dataset2\osteoporosis\osteoporosis\129.png,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_78.jpg,osteoporosis,osteoporosis,dataset2,dataset2,0.999688,1,False
data\raw\dataset2\osteoporosis\osteoporosis\13.JPEG,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_11.jpg,osteoporosis,osteoporosis,dataset2,dataset2,0.998393,1,False
data\raw\dataset2\osteoporosis\normal\13.png,data\raw\dataset2\osteoporosis\normal\Normal_13.jpg,normal,normal,dataset2,dataset2,0.999457,1,False
data\raw\dataset2\osteoporosis\osteoporosis\130.JPEG,data\raw\dataset2\osteoporosis\osteoporosis\Osteoporosis_79.jpg,osteoporosis,osteoporosis,dataset2,dataset2,0.99632,0,False
data\raw\dataset2\osteoporosis\normal\131.jpg,data\raw\dataset2\osteoporosis\normal\Normal_106.jpg,normal,normal,dataset2,dataset2,0.994564,1,False
data\raw\dataset2\osteoporosis\normal\132.png,data\raw\dataset2\osteoporosis\normal\Normal_107.jpg,normal,normal,dataset2,dataset2,0.999595,0,False
data\raw\dataset2\osteoporosis\normal\133.jpg,data\raw\dataset2\osteoporosis\normal\Normal_108.jpg,normal,normal,dataset2,dataset2,0.999283,1,False
data\raw\dataset2\osteoporosis\normal\135.jpg,data\raw\dataset2\osteoporosis\normal\Normal_109.jpg,normal,normal,dataset2,dataset2,0.999218,0,False
data\raw\dataset2\osteoporosis\normal\137.jpg,data\raw\dataset2\osteoporosis\normal\Normal_110.jpg,normal,normal,dataset2,dataset2,0.999424,2,False
data\raw\dataset2\osteoporosis\normal\138.png,data\raw\dataset2\osteoporosis\normal\Normal_111.jpg,normal,normal,dataset2,dataset2,0.999342,1,False
data\raw\dataset2\osteoporosis\normal\139.jpg,data\raw\dataset2\osteoporosis\normal\Normal_112.jpg,normal,normal,dataset2,dataset2,0.996519,0,False
data\raw\dataset2\osteoporosis\normal\14.png,data\raw\dataset2\osteoporosis\normal\Normal_14.jpg,normal,normal,dataset2,dataset2,0.999519,0,False
data\raw\dataset2\osteoporosis\normal\140.png,data\raw\dataset2\osteoporosis\normal\Normal_113.jpg,normal,normal,dataset2,dataset2,0.999743,0,False
